age,birth_place,division,fight_time_avg,fighting_style,first_round_finishes,height,knockdown_avg,ko_wins,name,nickname,octagon_debut,pos_clinch_pct,pos_ground_pct,pos_stand_pct,reach,record,sig_strikes_absorbed_per_min,sig_strikes_accuracy_pct,sig_strikes_landed_per_min,slug,status,submission_avg,takedown_avg,takedown_defense_pct,target_body_pct,target_head_pct,target_leg_pct,weight,wins_dec,wins_ko_tko,wins_sub
38,N/A,Poids légers Division,11:01,N/A,N/A,70.00,0.45,N/A,Damien Brown,"""Beatdown""","Mar. 20, 2016",13 (5%),21 (9%),208 (86%),42.50,17-12-0 (W-L-D),4.86,39%,242,damien-brown,Ne se bat pas,0.68,54%,N/A,16%,66%,19%,156.00,6 (35%),3 (18%),8 (47%)
N/A,Brazil,Poids moyens Division,08:33,N/A,N/A,0.00,0.00,N/A,Allan Goes,N/A,"May. 15, 1998",0 (0%),11 (100%),0 (0%),N/A,0-0-0 (W-L-D),1.35,52%,11,allan-goes,Ne se bat pas,2.63,N/A,N/A,45%,55%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
31,Brazil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,William Marcario,"""Patolino""","Oct. 21, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,william-marcario,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,États-Unis,Poids mi-moyens Division,N/A,N/A,N/A,72.00,N/A,N/A,Clay Harvison,"""Heavy Metal""","Jun. 5, 2011",N/A,N/A,N/A,N/A,9-5-0 (W-L-D),N/A,N/A,N/A,clay-harvison,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,169.00,N/A,N/A,N/A
30,N/A,Poids légers Division,15:00,N/A,N/A,N/A,0.00,N/A,Magomed Zaynukov,N/A,"Oct. 21, 2025",11 (5%),0 (0%),224 (95%),N/A,1-0-0 (W-L-D),4.80,61%,235,magomed-zaynukov,Actif,0.00,N/A,N/A,27%,51%,22%,155.50,0 (0 %),0 (0 %),0 (0 %)
55,États-Unis,Heavyweight Division,N/A,N/A,N/A,73.00,N/A,N/A,Kimo Leopoldo,"""Kimo""","Sep. 9, 1994",N/A,N/A,N/A,N/A,10-4-1 (W-L-D),N/A,N/A,N/A,kimo-leopoldo,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,244.00,N/A,N/A,N/A
45,"Webster, États-Unis",Heavyweight Division,N/A,N/A,N/A,75.00,N/A,N/A,Brock Lesnar,N/A,"Feb. 2, 2008",N/A,N/A,N/A,44.00,6-3-0 (W-L-D),N/A,N/A,N/A,brock-lesnar,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,265.50,N/A,N/A,N/A
40,"Durham, United States",Poids moyens Division,10:16,N/A,N/A,72.00,0.00,N/A,Ron Stallings,"""ChoirBoy""","Jan. 18, 2015",22 (26%),3 (4%),59 (70%),75.00,13-8-0 (W-L-D),3.26,61%,84,ron-stallings,Ne se bat pas,0.00,71%,N/A,26%,62%,12%,184.00,1 (8%),6 (46%),6 (46%)
36,Iran,Poids légers Division,09:10,MMA,8,70.00,0.48,5,Beneil Dariush,N/A,"Jan. 15, 2014",127 (15%),147 (18%),556 (67%),40.50,23-6-1 (W-L-D),2.61,49%,830,beneil-dariush,Actif,0.82,82%,N/A,23%,61%,17%,156.00,10 (43%),5 (22%),8 (35%)
39,"Manaus, Brazil",Poids légers Division,11:28,Grappler,5,70.00,0.13,4,Alan Patrick,"""Nuguette""","Oct. 9, 2013",24 (11%),45 (22%),140 (67%),42.00,15-4-0 (W-L-D),2.95,41%,209,alan-patrick,Ne se bat pas,0.26,44%,N/A,25%,61%,14%,156.00,9 (60%),4 (27%),2 (13%)
31,"Preston, Australia",Poids mi-moyens Division,11:20,Freestyle,4,71.50,0.29,6,Jake Matthews,"""The Celtic Kid""","Jun. 28, 2014",67 (8%),188 (22%),615 (71%),43.00,22-8-0 (W-L-D),2.62,44%,870,jake-matthews,Actif,0.75,64%,N/A,17%,71%,11%,170.50,8 (36%),6 (27%),8 (36%)
27,"Fort Campbell, United States",Poids plume Division,09:47,Judo,N/A,69.00,0.00,4,Jacob Kilburn,"""The Killer""","Dec. 7, 2019",4 (5%),1 (1%),70 (93%),39.00,8-4-0 (W-L-D),6.78,34%,75,jacob-kilburn,Ne se bat pas,0.51,20%,N/A,17%,67%,16%,145.00,2 (25%),4 (50%),2 (25%)
38,"Houston, États-Unis",Poids coq Division,N/A,Kickboxing,N/A,67.50,N/A,N/A,Eddie Wineland,N/A,"Mar. 20, 2011",N/A,N/A,N/A,36.50,24-16-1 (W-L-D),N/A,N/A,N/A,eddie-wineland,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,135.00,N/A,N/A,N/A
27,"Recife, Brazil",Poids plume Division,15:00,Karate,N/A,70.00,0.00,1,Bruno Souza,"""The Tiger""","Nov. 6, 2021",7 (6%),0 (0%),105 (94%),39.00,10-3-0 (W-L-D),5.30,40%,112,bruno-souza,Ne se bat pas,0.00,60%,N/A,27%,57%,16%,144.00,7 (70%),1 (10%),2 (20%)
40,"West Covina, États-Unis",Poids légers Division,N/A,N/A,N/A,68.00,N/A,N/A,Alvin Robinson,"""Kid""","Jul. 7, 2007",N/A,N/A,N/A,N/A,10-4-0 (W-L-D),N/A,N/A,N/A,alvin-robinson,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,155.00,N/A,N/A,N/A
42,États-Unis,Poids moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Brian Stann,"""All American""","Apr. 18, 2009",N/A,N/A,N/A,N/A,12-6-0 (W-L-D),N/A,N/A,N/A,brian-stann,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,206.00,N/A,N/A,N/A
46,"Portland, États-Unis",Poids mi-moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Chris Wilson,"""The Professor""","Mar. 1, 2008",N/A,N/A,N/A,N/A,13-6-0 (W-L-D),N/A,N/A,N/A,chris-wilson,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,171.00,N/A,N/A,N/A
N/A,"Los Angeles, United States",Poids légers Division,00:00,N/A,N/A,0.00,N/A,N/A,Eugenio Tadeu,N/A,"Mar. 13, 1998",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,eugenio-tadeu,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
41,United States,Poids mi-lourds Division,09:29,N/A,N/A,74.00,0.90,N/A,Ryan Jimmo,"""The Big Deal""","Jul. 21, 2012",76 (37%),41 (20%),90 (43%),73.00,19-5-0 (W-L-D),2.77,66%,207,ryan-jimmo,Ne se bat pas,0.00,88%,N/A,22%,47%,31%,206.00,9 (47%),8 (42%),2 (11%)
40,"Lanark, Royaume-Uni",Poids plume Division,N/A,N/A,N/A,69.00,N/A,N/A,Robert Whiteford,"""The Hammer""","Oct. 27, 2013",N/A,N/A,N/A,69.00,12-4-0 (W-L-D),N/A,N/A,N/A,rob-whiteford,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,145.00,N/A,N/A,N/A
41,"Newport News, États-Unis",Poids mi-moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Nick Thompson,"""The Goat""","Nov. 19, 2005",N/A,N/A,N/A,N/A,23-9-0 (W-L-D),N/A,N/A,N/A,nick-thompson,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,170.00,N/A,N/A,N/A
46,N/A,Heavyweight Division,N/A,N/A,N/A,74.00,N/A,N/A,Gilbert Yvel,"""The Hurricane""","Jan. 2, 2010",N/A,N/A,N/A,N/A,36-16-1 (W-L-D),N/A,N/A,N/A,gilbert-yvel,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,249.00,N/A,N/A,N/A
35,United States,Poids mouche Division,06:56,N/A,N/A,66.00,0.00,N/A,Darrell Montague,"""Mongoose""","Oct. 20, 2013",1 (3%),0 (0%),39 (98%),67.00,13-5-0 (W-L-D),5.38,26%,40,darrell-montague,Ne se bat pas,1.44,33%,N/A,18%,58%,25%,125.50,3 (23%),5 (38%),5 (38%)
26,"Werribee, Australia",Poids mi-moyens Division,09:01,MMA,2,72.00,0.83,2,Jonathan Micallef,"""The Captain""","Feb. 8, 2025",3 (3%),0 (0%),83 (97%),44.00,8-1-0 (W-L-D),4.00,44%,86,jonathan-micallef,Actif,0.83,50%,N/A,34%,60%,6%,170.00,3 (38%),2 (25%),3 (38%)
N/A,Colombia,Poids plume Division,15:00,N/A,N/A,70.00,0.00,N/A,Alex Torres,"""Rolo""","Feb. 28, 2015",11 (30%),0 (0%),26 (70%),70.00,2-2-0 (W-L-D),2.73,37%,37,alex-torres,Ne se bat pas,0.00,50%,N/A,22%,59%,19%,145.50,0 (0%),2 (100%),0 (0%)
48,"Los Angeles, États-Unis",Poids coq Division,N/A,N/A,N/A,63.00,N/A,N/A,Charlie Valencia,N/A,"Apr. 30, 2011",N/A,N/A,N/A,N/A,12-7-0 (W-L-D),N/A,N/A,N/A,charlie-valencia,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,136.00,N/A,N/A,N/A
31,"Dublin, Ireland",Poids légers Division,03:32,N/A,N/A,69.00,0.00,N/A,Richie Smullen,N/A,"Jul. 6, 2018",0 (0%),4 (57%),3 (43%),39.00,3-1-1 (W-L-D),2.26,78%,7,richie-smullen,Ne se bat pas,0.00,N/A,N/A,14%,43%,43%,154.50,0 (0%),1 (33%),2 (67%)
28,"Republic of Dagestan, Russia",Poids mi-lourds Division,11:34,N/A,N/A,75.00,0.00,2,Khadis Ibragimov,N/A,"Aug. 31, 2019",31 (19%),5 (3%),128 (78%),41.00,8-4-0 (W-L-D),4.26,50%,164,khadis-ibragimov,Ne se bat pas,0.32,81%,N/A,6%,90%,4%,206.00,3 (38%),2 (25%),3 (38%)
38,"El Paso, United States",Poids plume Division,12:34,Wrestling,N/A,68.00,0.10,11,Nik Lentz,"""The Carny""","Sep. 19, 2009",213 (20%),211 (20%),655 (61%),39.00,30-12-2 (W-L-D),3.25,48%,1079,nik-lentz,Ne se bat pas,1.24,44%,N/A,25%,60%,15%,150.00,11 (37%),11 (37%),8 (27%)
34,"San Luis Río Colorado, Mexico",Poids mi-moyens Division,10:46,N/A,N/A,71.00,0.00,2,Hector Aldana,"""El Charro""","Jun. 23, 2018",6 (5%),1 (1%),109 (94%),40.50,4-2-0 (W-L-D),5.08,38%,116,hector-aldana,Ne se bat pas,0.00,N/A,N/A,11%,55%,34%,170.00,1 (25%),2 (50%),1 (25%)
59,États-Unis,Poids mi-lourds Division,N/A,N/A,N/A,74.00,N/A,N/A,Randy Couture,"""The Natural""","May. 30, 1997",N/A,N/A,N/A,75.00,19-11-0 (W-L-D),N/A,N/A,N/A,randy-couture,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,204.00,N/A,N/A,N/A
35,"Yakima, United States",Poids plume Division,07:59,Striker,9,73.00,0.21,12,Julian Erosa,"""Juicy J""","Dec. 11, 2015",142 (16%),56 (6%),694 (78%),41.00,31-13-0 (W-L-D),6.27,49%,892,julian-erosa,Actif,0.73,62%,N/A,24%,66%,10%,145.00,5 (16%),12 (39%),14 (45%)
35,"North Inner City, Dublin, Ireland",Poids mi-moyens Division,10:54,MMA,5,71.00,0.00,5,Kiefer Crosbie,"""BDK""","Sep. 10, 2023",30 (10%),0 (0%),258 (90%),39.00,10-6-0 (W-L-D),6.49,52%,288,kiefer-crosbie,Actif,0.34,100%,N/A,16%,55%,29%,170.50,3 (30%),5 (50%),2 (20%)
33,"Anchorage, United States",Poids coq Division,02:02,MMA,12,70.00,0.00,8,Terrence Mitchell,N/A,"Jul. 8, 2023",2 (22%),1 (11%),6 (67%),41.00,15-4-0 (W-L-D),8.85,35%,9,terrence-mitchell,Actif,0.00,N/A,N/A,11%,89%,0%,142.00,1 (7%),8 (53%),6 (40%)
31,Japan,Poids mouche Division,08:22,N/A,12,68.00,0.00,13,Kai Asakura,N/A,"Dec. 7, 2024",0 (0%),0 (0%),38 (100%),37.00,21-6-0 (W-L-D),3.53,33%,38,kai-asakura,Actif,0.00,50%,N/A,21%,71%,8%,126.00,5 (24%),13 (62%),3 (14%)
51,"Hyogo Prefecture, Japon",Poids légers Division,N/A,N/A,N/A,67.00,N/A,N/A,Dokonjonosuke Mishima,N/A,"Nov. 18, 2006",N/A,N/A,N/A,N/A,17-6-2 (W-L-D),N/A,N/A,N/A,dokonjonosuke-mishima,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,156.00,N/A,N/A,N/A
35,"Huntington, United States",Poids légers Division,08:23,Brawler,6,69.00,0.96,4,Matt Frevola,"""The SteamRolla""","Aug. 29, 2017",42 (12%),72 (20%),246 (68%),40.00,11-6-1 (W-L-D),3.76,40%,360,matt-frevola,Actif,0.83,40%,N/A,20%,66%,14%,156.00,4 (36%),4 (36%),3 (27%)
43,"Gover Nador Valadares, Brazil",Poids mi-lourds Division,10:20,Jiu-Jitsu,N/A,74.00,0.33,18,Glover Teixeira,N/A,"May. 26, 2012",93 (9%),414 (41%),500 (50%),42.50,33-9-0 (W-L-D),4.43,50%,1007,glover-teixeira,Retraité,0.94,60%,N/A,13%,86%,2%,205.00,5 (15%),18 (55%),10 (30%)
43,"Hounslow, United Kingdom",Heavyweight Division,07:18,MMA,N/A,76.00,0.79,25,Alistair Overeem,"""The Demolition Man""","Dec. 30, 2011",350 (26%),508 (38%),463 (35%),44.50,47-19-0 (W-L-D),2.44,64%,1321,alistair-overeem,Ne se bat pas,0.83,73%,N/A,34%,53%,13%,255.50,5 (11%),25 (53%),17 (36%)
44,"England, Royaume-Uni",Poids moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Michael Bisping,"""The Count""","Jun. 24, 2006",N/A,N/A,N/A,44.50,31-9-0 (W-L-D),N/A,N/A,N/A,michael-bisping,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,186.00,N/A,N/A,N/A
38,États-Unis,Heavyweight Division,N/A,N/A,N/A,76.00,N/A,N/A,Dave  Herman,"""Pee Wee""","Jun. 12, 2011",N/A,N/A,N/A,76.00,21-6-0 (W-L-D),N/A,N/A,N/A,dave-herman,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,242.00,N/A,N/A,N/A
53,"Irmo, United States",,00:00,N/A,N/A,0.00,N/A,N/A,Melton Bowen,N/A,"Dec. 16, 1994",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,melton-bowen,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
35,"Dubrovnik, Croatia",Heavyweight Division,02:03,MMA,15,77.00,7.32,13,Ante Delija,"""Walking Trouble""","Oct. 17, 2020",0 (0%),4 (31%),9 (69%),41.00,26-6-0 (W-L-D),1.95,46%,13,ante-delija,Actif,0.00,N/A,N/A,0%,100%,0%,239.00,7 (27%),13 (50%),6 (23%)
33,"Philadelphia, United States",Poids mi-lourds Division,03:11,Freestyle,8,75.00,3.54,11,Chris Daukaus,N/A,"Aug. 15, 2020",13 (8%),31 (20%),110 (71%),43.00,12-7-0 (W-L-D),4.64,50%,154,chris-daukaus,Actif,0.00,100%,N/A,8%,86%,6%,205.00,1 (8%),11 (92%),0 (0%)
32,"San Juan, United States",Poids légers Division,07:06,MMA,3,68.00,0.70,8,Victor Martinez,"""The Brick""","Feb. 25, 2023",7 (4%),1 (1%),161 (95%),39.00,13-6-0 (W-L-D),7.66,52%,169,victor-martinez,N/A,0.00,80%,N/A,27%,47%,26%,154.50,5 (38%),8 (62%),0 (0%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,jose-miguel-delgado,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,"Phoenix, United States",Poids mi-moyens Division,15:00,N/A,N/A,N/A,0.00,N/A,Ty Miller,N/A,"Oct. 21, 2025",11 (13%),0 (0%),73 (87%),N/A,1-0-0 (W-L-D),3.80,34%,84,ty-miller,Actif,0.00,50%,N/A,11%,88%,1%,170.50,0 (0 %),0 (0 %),0 (0 %)
49,États-Unis,Poids moyens Division,N/A,N/A,N/A,68.00,N/A,N/A,Mark Hughes,N/A,"Nov. 17, 2000",N/A,N/A,N/A,N/A,0-0-0 (W-L-D),N/A,N/A,N/A,mark-hughes,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,184.00,N/A,N/A,N/A
53,United States,Heavyweight Division,00:00,N/A,N/A,0.00,N/A,N/A,Tedd Williams,N/A,"Mar. 10, 2000",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,tedd-williams,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
40,États-Unis,Heavyweight Division,N/A,N/A,N/A,76.00,N/A,N/A,Brendan Schaub,"""The Hybrid""","Dec. 5, 2009",N/A,N/A,N/A,78.00,11-5-0 (W-L-D),N/A,N/A,N/A,brendan-schaub,Retraité,N/A,N/A,N/A,N/A,N/A,N/A,244.00,N/A,N/A,N/A
41,United States,Poids mi-moyens Division,11:28,N/A,N/A,71.00,0.00,N/A,Keith Wisniewski,"""The Polish Connection""","Nov. 19, 2005",61 (46%),14 (11%),58 (44%),N/A,28-14-1 (W-L-D),4.86,52%,133,keith-wisniewski,Ne se bat pas,0.26,79%,N/A,36%,62%,2%,170.50,7 (25%),6 (21%),15 (54%)
N/A,United States,Heavyweight Division,00:00,N/A,N/A,0.00,N/A,N/A,Joey Roberts,N/A,"Mar. 5, 1999",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,joey-roberts,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
32,"Gryfice, Poland",Poids légers Division,10:31,Brazilian Jiu-Jitsu,10,67.00,0.81,9,Mateusz Rębecki,N/A,"Jan. 14, 2023",19 (5%),47 (12%),324 (83%),36.50,20-3-0 (W-L-D),4.53,47%,390,mateusz-rebecki,Actif,0.61,50%,N/A,17%,66%,17%,155.50,4 (20%),9 (45%),7 (35%)
37,United States,Heavyweight Division,10:52,N/A,N/A,75.00,0.32,10,Gian Villante,N/A,"Jan. 8, 2012",74 (7%),68 (7%),887 (86%),43.50,17-14-0 (W-L-D),5.47,44%,1029,gian-villante,Ne se bat pas,0.00,83%,N/A,14%,65%,22%,260.60,5 (29%),10 (59%),2 (12%)
26,N/A,Poids coq Division,03:52,N/A,N/A,N/A,0.00,N/A,Rana Rudra Pratap Singh,N/A,"Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),N/A,0-1-0 (W-L-D),9.05,N/A,N/A,rana-rudra-pratap-singh,Actif,0.00,N/A,N/A,0%,0%,0%,135.50,0 (0 %),0 (0 %),0 (0 %)
31,"Denver, United States",Poids mouche Division,12:18,N/A,3,65.00,0.00,5,Luis Gurule,"""Grim""","Apr. 5, 2025",13 (7%),4 (2%),165 (91%),38.00,10-2-0 (W-L-D),4.53,43%,182,luis-gurule,Actif,0.00,56%,N/A,15%,69%,16%,125.50,4 (40%),5 (50%),1 (10%)
41,États-Unis,Poids moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Dan Miller,N/A,"Sep. 17, 2008",N/A,N/A,N/A,74.00,14-8-0 (W-L-D),N/A,N/A,N/A,dan-miller,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,184.00,N/A,N/A,N/A
34,United States,Poids plume Division,08:19,N/A,N/A,68.00,0.00,N/A,Pat Schilling,"""Thrilling""","Jan. 21, 2012",0 (0%),0 (0%),31 (100%),N/A,5-2-0 (W-L-D),8.24,27%,31,pat-schilling,Ne se bat pas,0.00,N/A,N/A,16%,71%,13%,145.00,0 (0 %),0 (0 %),0 (0 %)
32,"Virginia Beach, United States",Poids légers Division,06:54,N/A,N/A,68.00,1.45,N/A,Te Edwards,"""Tango""","Oct. 27, 2018",4 (13%),4 (13%),23 (74%),39.00,6-3-0 (W-L-D),4.15,42%,31,te-edwards,Ne se bat pas,0.00,44%,N/A,13%,74%,13%,155.00,0 (0 %),0 (0 %),0 (0 %)
N/A,United States,,00:00,N/A,N/A,0.00,N/A,N/A,Geza Kahlman Jr,N/A,"Sep. 8, 1995",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,geza-kahlman-jr,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
39,États-Unis,Poids moyens Division,N/A,N/A,N/A,74.00,N/A,N/A,Alan Belcher,"""The Talent""","Aug. 26, 2006",N/A,N/A,N/A,75.00,17-7-0 (W-L-D),N/A,N/A,N/A,alan-belcher,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,185.00,N/A,N/A,N/A
40,"Fr. Vaerk Hundested, Denmark",Poids mi-moyens Division,13:09,MMA,3,70.00,0.16,7,Nicolas Dalby,"""Danish Dynamite""","May. 30, 2015",223 (30%),57 (8%),466 (62%),43.00,23-6-1 (W-L-D),3.69,44%,746,nicolas-dalby,Actif,0.08,59%,N/A,24%,60%,16%,171.00,12 (52%),7 (30%),4 (17%)
N/A,"Brasilia, Brazil",Heavyweight Division,05:17,N/A,N/A,73.00,0.00,N/A,Mario Neto,"""Sukata""","Sep. 23, 2006",4 (40%),1 (10%),5 (50%),N/A,9-3-0 (W-L-D),1.89,50%,10,mario-neto,Ne se bat pas,0.00,N/A,N/A,0%,40%,60%,236.00,0 (0 %),0 (0 %),0 (0 %)
20,Brazil,Poids mouche Division,07:45,MMA,3,67.00,1.94,4,Igor Severino,N/A,"Mar. 23, 2024",4 (4%),36 (32%),71 (64%),37.00,8-1-0 (W-L-D),4.33,52%,111,igor-severino,Actif,0.00,50%,N/A,14%,75%,11%,125.00,0 (0%),4 (50%),4 (50%)
30,"Los Angeles, United States",Poids légers Division,06:56,MMA,11,75.00,1.24,10,Jalin Turner,"""The Tarantula""","Oct. 7, 2018",52 (10%),95 (18%),390 (73%),46.00,14-9-0 (W-L-D),4.55,48%,537,jalin-turner,Actif,1.08,75%,N/A,26%,68%,6%,154.50,0 (0%),10 (71%),4 (29%)
33,"Oklahoma City, United States",Poids légers Division,09:27,N/A,N/A,69.00,0.00,N/A,J.C. Cottrell,"""Superstar""","Jul. 24, 2016",0 (0%),0 (0%),15 (100%),40.00,17-5-0 (W-L-D),2.75,25%,15,jc-cottrell,Ne se bat pas,0.00,50%,N/A,7%,67%,27%,155.80,4 (24%),2 (12%),11 (65%)
N/A,"Murrieta, United States",,00:00,N/A,N/A,0.00,N/A,N/A,Mark Hall,N/A,"Sep. 8, 1995",0 (0 %),0 (0 %),0 (0 %),N/A,0-0-0 (W-L-D),N/A,N/A,N/A,mark-hall,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,0.00,0 (0 %),0 (0 %),0 (0 %)
39,"Tucson, États-Unis",Poids plume Division,N/A,N/A,N/A,70.00,N/A,N/A,Jeremy Larsen,N/A,"Jun. 2, 2012",N/A,N/A,N/A,N/A,8-5-0 (W-L-D),N/A,N/A,N/A,jeremy-larsen,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,145.50,N/A,N/A,N/A
45,"Fond du Lac, États-Unis",Poids moyens Division,N/A,N/A,N/A,75.00,N/A,N/A,Eric Schafer,"""Ravishing Red""","Aug. 26, 2006",N/A,N/A,N/A,N/A,14-7-2 (W-L-D),N/A,N/A,N/A,eric-schafer,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,185.00,N/A,N/A,N/A
24,"Ponta Grossa, Brazil",Poids mouche Division,15:00,N/A,N/A,N/A,0.00,N/A,Rickson Zenidim,N/A,"Oct. 21, 2025",0 (0%),0 (0%),25 (100%),N/A,0-1-0 (W-L-D),4.07,32%,25,rickson-zenidim,Actif,0.00,N/A,N/A,44%,32%,24%,N/A,0 (0 %),0 (0 %),0 (0 %)
35,"Khunzakh, Dagestan, Russia",Heavyweight Division,09:21,MMA,9,76.00,0.64,9,Shamil Gaziev,N/A,"Dec. 16, 2023",25 (21%),17 (14%),78 (65%),45.00,14-1-0 (W-L-D),3.87,48%,120,shamil-gaziev,Actif,0.32,83%,N/A,27%,72%,2%,260.00,2 (14%),9 (64%),3 (21%)
33,N/A,Poids moyens Division,15:00,N/A,N/A,N/A,0.00,N/A,Chad Hanekom,N/A,"Oct. 21, 2025",3 (27%),0 (0%),8 (73%),N/A,0-1-0 (W-L-D),1.47,48%,11,chad-hanekom,Actif,1.00,71%,N/A,27%,27%,45%,N/A,0 (0 %),0 (0 %),0 (0 %)
34,"Richmond, United States",Poids mi-lourds Division,12:41,N/A,N/A,74.00,0.00,N/A,Jordan Johnson,N/A,"Jan. 29, 2017",8 (5%),49 (28%),118 (67%),41.00,10-0-0 (W-L-D),2.64,48%,175,jordan-johnson,Ne se bat pas,1.18,100%,N/A,7%,87%,6%,186.00,4 (44%),2 (22%),3 (33%)
38,United States,Poids mouche Division,12:08,Freestyle,6,67.00,0.12,3,Tim Elliott,N/A,"May. 5, 2012",152 (18%),166 (19%),540 (63%),38.00,22-13-1 (W-L-D),2.65,45%,858,tim-elliott,Actif,1.12,59%,N/A,20%,59%,21%,126.00,11 (50%),3 (14%),8 (36%)
32,China,Poids coq Division,00:00,N/A,N/A,N/A,N/A,N/A,Maimaitituoheti Keremuaili,N/A,"Jun. 9, 2022",0 (0 %),0 (0 %),0 (0 %),N/A,0-1-0 (W-L-D),N/A,N/A,N/A,maimaitituoheti-keremuaili,Ne se bat pas,N/A,N/A,N/A,0%,0%,0%,136.00,0 (0 %),0 (0 %),0 (0 %)
36,"Breisach, Allemagne",Poids mi-moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Pascal Krauss,"""Panzer""","Nov. 13, 2010",N/A,N/A,N/A,72.00,11-2-0 (W-L-D),N/A,N/A,N/A,pascal-krauss,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,170.00,N/A,N/A,N/A
37,États-Unis,Poids moyens Division,N/A,AMM,N/A,73.00,N/A,N/A,Brad Tavares,N/A,"Jun. 19, 2010",N/A,N/A,N/A,43.00,21-12-0 (W-L-D),N/A,N/A,N/A,brad-tavares,Actif,N/A,N/A,N/A,N/A,N/A,N/A,186.00,N/A,N/A,N/A
35,"Long Island, United States",Poids mi-lourds Division,00:08,N/A,N/A,72.00,0.00,N/A,Dashawn Boatwright,"""Buck, the 400-pound Silverback""","Oct. 21, 2025",0 (0 %),0 (0 %),0 (0 %),41.00,3-2-0 (W-L-D),52.50,0%,0,dashawn-boatwright,Actif,0.00,N/A,N/A,0%,0%,0%,204.00,0 (0 %),0 (0 %),0 (0 %)
40,United Kingdom,Poids mouche Division,08:32,N/A,N/A,64.00,0.00,N/A,Phil Harris,"""Billy""","Oct. 6, 2012",13 (13%),2 (2%),85 (85%),64.00,22-12-0 (W-L-D),3.16,27%,100,phil-harris,Ne se bat pas,0.00,60%,N/A,8%,65%,27%,126.00,5 (23%),4 (18%),13 (59%)
42,"Portlaoise, Ireland",Poids mi-moyens Division,01:32,N/A,N/A,71.00,0.00,N/A,Charlie Ward,"""Relentless""","Nov. 19, 2016",1 (20%),0 (0%),4 (80%),42.00,3-3-0 (W-L-D),7.21,19%,5,charlie-ward,Ne se bat pas,0.00,N/A,N/A,20%,80%,0%,169.00,2 (100%),0 (0%),0 (0%)
